User_ID,Current_Skills,Experience_Level,Preferred_Tech_Role,Industry_Trend_Score,Recommended_Skills,Job_Opportunities
U151,"C++, Java, React",Entry,AI Engineer,88.97,"JavaScript, React",22
U152,"C++, Python, Node.js, JavaScript, AWS",Mid,Software Engineer,54.74,"AWS, C++",39
U153,"Data Science, AWS, SQL, Python, React",Entry,Data Scientist,58.04,"JavaScript, Node.js, C++, Java, AWS",28
U154,"React, C++, Node.js",Senior,Software Engineer,89.77,"JavaScript, React, Data Science",95
U155,"Python, AWS, Data Science, React",Senior,Data Scientist,59.18,"Java, Data Science, Node.js",17
U156,"SQL, JavaScript, Python, Machine Learning, C++",Entry,Frontend Developer,60.22,"Data Science, Machine Learning, Python, React, JavaScript",74
U157,"SQL, Data Science, Node.js, Machine Learning",Senior,Software Engineer,95.19,"C++, React, Python, JavaScript, Java",39
U158,"JavaScript, React",Mid,Data Scientist,69.68,"Node.js, JavaScript",42
U159,"Java, Node.js",Entry,Software Engineer,51.43,"Python, Java, Machine Learning",29
U160,"JavaScript, React, C++",Entry,Frontend Developer,78.47,"Node.js, SQL, Machine Learning",63
U161,"Machine Learning, AWS, C++, SQL",Senior,Cloud Engineer,55.46,"React, AWS",6
U162,"AWS, Java, Machine Learning, C++",Mid,Frontend Developer,67.83,"AWS, Data Science, JavaScript",51
U163,"Data Science, Java",Entry,Frontend Developer,63.5,"React, AWS, Data Science, Python",83
U164,"JavaScript, Java, C++",Senior,Cloud Engineer,87.59,"Machine Learning, JavaScript, Java",33
U165,"Python, Java, Node.js, React, Data Science",Senior,AI Engineer,85.75,"C++, Python, AWS, React",68
U166,"AWS, Python, JavaScript, Java",Entry,Backend Developer,54.62,"Java, React, AWS, Machine Learning",76
U167,"React, Machine Learning, Python, C++, Data Science",Senior,Software Engineer,78.79,"C++, Node.js, Python, Data Science",90
U168,"SQL, Node.js, React",Mid,Cloud Engineer,90.25,"SQL, JavaScript, Data Science, AWS",52
U169,"AWS, Python",Mid,Cloud Engineer,63.91,"SQL, AWS, Python, JavaScript",52
U170,"Java, React",Mid,Data Scientist,83.38,"Data Science, Java",78
U171,"Machine Learning, Java, Data Science",Entry,Software Engineer,53.2,"C++, Machine Learning, Java, React",8
U172,"Data Science, Machine Learning, JavaScript, AWS",Entry,Data Scientist,74.12,"Java, Node.js",75
U173,"Python, React, AWS",Mid,AI Engineer,67.23,"Java, React, Python, AWS",76
U174,"JavaScript, Node.js",Senior,Data Scientist,55.82,"Machine Learning, AWS, Java, JavaScript, SQL",82
U175,"Machine Learning, JavaScript, Java",Entry,Software Engineer,96.94,"React, Machine Learning, C++, Node.js",85
U176,"Data Science, Java, Node.js, SQL",Senior,Frontend Developer,70.44,"AWS, Machine Learning",5
U177,"JavaScript, Data Science, AWS, Java, Machine Learning",Mid,Cloud Engineer,97.41,"Node.js, SQL, Machine Learning, React, JavaScript",100
U178,"Python, Java",Mid,Software Engineer,50.58,"Java, Python, JavaScript, Machine Learning, SQL",63
U179,"Data Science, Node.js, AWS, Java",Senior,AI Engineer,63.38,"Machine Learning, React, Java, C++",39
U180,"Data Science, React, Machine Learning, SQL, JavaScript",Entry,Data Scientist,87.96,"Python, Data Science, Machine Learning, Node.js",91
U181,"SQL, C++, AWS, Data Science",Senior,AI Engineer,88.95,"AWS, Data Science",37
U182,"Node.js, Data Science, Java, JavaScript",Mid,Data Scientist,81.11,"AWS, Python, React, Data Science",33
U183,"JavaScript, SQL, C++, React",Senior,AI Engineer,87.73,"Machine Learning, Data Science, C++, React",24
U184,"AWS, Node.js",Senior,Frontend Developer,76.86,"JavaScript, React, Data Science, Java, AWS",85
U185,"Data Science, C++, Machine Learning",Senior,Software Engineer,67.09,"JavaScript, Data Science, Node.js",18
U186,"Java, Data Science",Mid,Data Scientist,94.11,"C++, SQL, Machine Learning, Data Science",94
U187,"Python, Node.js",Entry,Cloud Engineer,57.25,"Node.js, SQL, Data Science, AWS",60
U188,"Data Science, React, Node.js, SQL",Senior,Cloud Engineer,91.64,"AWS, React, Machine Learning, Java",72
U189,"Data Science, JavaScript",Mid,Data Scientist,84.41,"React, Data Science, Java",32
U190,"Data Science, Node.js, C++, JavaScript",Mid,Backend Developer,76.48,"SQL, C++, Machine Learning, React, Node.js",50
U191,"Python, C++",Senior,Cloud Engineer,91.72,"Node.js, Machine Learning, SQL, JavaScript, C++",99
U192,"Java, JavaScript, Data Science, C++",Mid,AI Engineer,58.7,"Python, Data Science",14
U193,"Python, SQL, Node.js, Java",Senior,Frontend Developer,72.55,"Java, AWS, Data Science",82
U194,"C++, Node.js, Java, Python, Data Science",Entry,Frontend Developer,93.96,"Data Science, SQL, Machine Learning",29
U195,"Node.js, AWS, Python, Java, C++",Senior,Cloud Engineer,69.81,"Python, Data Science, Machine Learning, React, Node.js",19
U196,"Java, C++, Data Science",Mid,Backend Developer,60.56,"AWS, JavaScript, Node.js",83
U197,"Machine Learning, AWS, Python, SQL",Senior,Backend Developer,96.93,"AWS, React, C++, Node.js",93
U198,"SQL, Node.js, AWS, Java",Entry,Data Scientist,94.82,"Machine Learning, C++",74
U199,"React, Machine Learning, C++",Entry,Frontend Developer,85.18,"AWS, Python, Machine Learning",19
U200,"SQL, Java, Data Science, C++",Senior,Cloud Engineer,63.39,"Machine Learning, C++, React, Java",12
U201,"React, C++",Mid,Backend Developer,57.85,"Data Science, AWS, React, JavaScript, Node.js",74
U202,"JavaScript, AWS, Node.js, SQL, C++",Senior,Frontend Developer,92.77,"Python, Data Science, C++, SQL",48
U203,"Machine Learning, Node.js, AWS",Mid,Cloud Engineer,71.75,"Java, Data Science",29
U204,"C++, Machine Learning, JavaScript",Senior,Cloud Engineer,75.47,"React, Java, Node.js",33
U205,"React, Machine Learning, JavaScript, Python",Entry,AI Engineer,85.89,"Python, C++",50
U206,"JavaScript, Java, Python, Machine Learning, Data Science",Entry,Data Scientist,73.82,"Java, React, Node.js, Machine Learning, JavaScript",6
U207,"Machine Learning, C++, AWS, Node.js, JavaScript",Senior,Cloud Engineer,72.31,"SQL, C++",43
U208,"AWS, Node.js, C++, JavaScript",Entry,Backend Developer,82.94,"AWS, Node.js, Data Science",90
U209,"C++, Node.js, Machine Learning, SQL",Mid,Data Scientist,69.51,"Java, Data Science, C++",68
U210,"React, JavaScript, SQL, AWS, C++",Senior,Backend Developer,87.09,"JavaScript, React, Python",53
U211,"Node.js, Java, SQL",Mid,Cloud Engineer,74.59,"SQL, JavaScript",97
U212,"Machine Learning, Data Science, Node.js, React",Mid,Backend Developer,80.63,"Data Science, Node.js, SQL",8
U213,"AWS, JavaScript",Senior,Frontend Developer,59.65,"JavaScript, Node.js",14
U214,"SQL, JavaScript, React, Node.js",Entry,Software Engineer,88.79,"C++, AWS, Machine Learning",32
U215,"JavaScript, Data Science, Machine Learning, React, Node.js",Entry,AI Engineer,96.57,"Node.js, Machine Learning, JavaScript, Java, SQL",68
U216,"React, Node.js",Senior,Backend Developer,71.63,"Java, JavaScript, Node.js, SQL",68
U217,"Node.js, JavaScript",Mid,Cloud Engineer,67.97,"React, Machine Learning",19
U218,"Python, Machine Learning",Senior,AI Engineer,71.08,"AWS, Data Science",23
U219,"Machine Learning, AWS, Data Science, Java",Entry,Cloud Engineer,81.27,"Node.js, Machine Learning, Python, React",24
U220,"Java, AWS, SQL, Data Science, C++",Senior,Backend Developer,59.18,"C++, Node.js, Data Science",75
U221,"Node.js, React",Senior,Cloud Engineer,90.16,"JavaScript, Data Science, Python",68
U222,"SQL, Machine Learning, Node.js",Mid,Frontend Developer,89.69,"C++, Data Science, AWS, SQL",82
U223,"React, Data Science, Java",Mid,Frontend Developer,61.02,"Java, C++",10
U224,"Machine Learning, Node.js",Mid,Cloud Engineer,88.52,"Machine Learning, Python, AWS, Java",73
U225,"Java, Data Science, JavaScript",Entry,Cloud Engineer,91.67,"Data Science, SQL, JavaScript",50
U226,"Node.js, React, Data Science, Machine Learning, JavaScript",Senior,Data Scientist,97.52,"Python, React, Data Science",21
U227,"JavaScript, Node.js, Python",Entry,AI Engineer,76.63,"Python, SQL, Java, AWS, Node.js",71
U228,"SQL, React",Mid,Backend Developer,95.84,"Java, AWS, Node.js, JavaScript, C++",32
U229,"Machine Learning, React, AWS",Senior,Backend Developer,86.21,"Data Science, SQL, JavaScript, Machine Learning",32
U230,"Java, Python, Machine Learning, AWS",Entry,Frontend Developer,80.41,"Node.js, Python, JavaScript",39
U231,"Node.js, Data Science, Java",Entry,Cloud Engineer,59.65,"React, C++, Data Science, JavaScript",54
U232,"Machine Learning, C++, Python",Mid,Data Scientist,58.63,"JavaScript, AWS, Machine Learning, SQL",71
U233,"SQL, Python",Mid,Software Engineer,65.73,"Machine Learning, SQL, React",70
U234,"SQL, AWS, Node.js, Data Science",Entry,Backend Developer,90.3,"AWS, React, JavaScript, Machine Learning, Python",72
U235,"Node.js, Machine Learning, C++",Entry,Cloud Engineer,94.28,"SQL, C++",82
U236,"Python, JavaScript",Senior,Backend Developer,98.74,"SQL, Machine Learning, Data Science, AWS, Node.js",38
U237,"Data Science, C++, Machine Learning, AWS, Python",Senior,Software Engineer,83.78,"Python, React",35
U238,"Node.js, Machine Learning, SQL, Java, C++",Mid,Frontend Developer,50.15,"C++, Machine Learning",98
U239,"AWS, SQL, C++",Senior,Cloud Engineer,58.89,"SQL, React, AWS, Data Science",82
U240,"AWS, C++, Data Science, SQL, Machine Learning",Mid,Backend Developer,93.32,"Java, Data Science",60
U241,"Python, Machine Learning, SQL",Senior,Cloud Engineer,58.51,"Python, AWS, React, SQL, Node.js",8
U242,"JavaScript, Data Science, C++, SQL, AWS",Mid,AI Engineer,54.85,"C++, AWS, React, SQL, Node.js",34
U243,"Node.js, Data Science, AWS, Python",Mid,Data Scientist,57.44,"Data Science, SQL, Python, React, Java",48
U244,"SQL, JavaScript",Mid,Frontend Developer,53.73,"Machine Learning, JavaScript, Data Science",41
U245,"AWS, JavaScript, Python, Machine Learning, Node.js",Mid,Software Engineer,54.13,"Java, JavaScript, React, AWS",16
U246,"AWS, Python",Senior,AI Engineer,87.15,"AWS, Node.js, Java, JavaScript",21
U247,"Python, Java",Senior,Data Scientist,83.05,"SQL, AWS, Data Science, Python",9
U248,"JavaScript, Node.js, Machine Learning, Python, SQL",Senior,AI Engineer,70.77,"Java, JavaScript, C++, React",96
U249,"React, Data Science",Mid,Backend Developer,98.65,"Java, Python",19
U250,"React, Machine Learning",Mid,Cloud Engineer,93.33,"JavaScript, Java",37
U251,"Data Science, Python, AWS, React, Node.js",Senior,Frontend Developer,57.42,"JavaScript, C++, SQL, AWS, Data Science",88
U252,"C++, React, Python, JavaScript, Node.js",Mid,Backend Developer,56.77,"React, Node.js, JavaScript, Data Science, Java",11
U253,"Node.js, Python, AWS, Java",Mid,AI Engineer,58.84,"C++, AWS, Python, Data Science",22
U254,"Java, Python, JavaScript, C++",Mid,Software Engineer,67.97,"React, Node.js, Java",17
U255,"Python, C++",Entry,AI Engineer,89.95,"AWS, Python, React",40
U256,"React, Data Science, Node.js, Python, JavaScript",Mid,Frontend Developer,98.56,"C++, Node.js",35
U257,"Node.js, Machine Learning, Python, Data Science, JavaScript",Mid,AI Engineer,75.57,"C++, Java, Python",74
U258,"Data Science, Machine Learning, Node.js",Mid,AI Engineer,53.62,"Machine Learning, SQL, Data Science, C++, Node.js",18
U259,"AWS, Java, React, Node.js, C++",Senior,Frontend Developer,66.01,"AWS, Data Science, Python",73
U260,"JavaScript, SQL, C++, Node.js",Senior,AI Engineer,95.01,"JavaScript, Data Science, C++, AWS",15
U261,"Java, Machine Learning",Mid,Software Engineer,77.38,"C++, Machine Learning, JavaScript, Node.js",16
U262,"Data Science, SQL, Java, AWS",Entry,Cloud Engineer,97.13,"C++, Data Science",95
U263,"Java, React, Data Science",Entry,Frontend Developer,77.24,"AWS, SQL, Node.js, Data Science, JavaScript",87
U264,"Node.js, C++",Senior,Frontend Developer,65.11,"Java, Python, SQL",74
U265,"Python, Node.js",Senior,Frontend Developer,78.26,"C++, SQL, AWS, JavaScript, React",56
